train_id,max_h,min_h,mean_h,sd_h,sum_h,crown_area,crown_perim,dbh,maxmin
1,47.22999954,23.20999908,39.62949447,5.819376324,7054.050016,28.48,27.2,35,24.02000046
2,46.20000076,6.659999847,36.48495327,9.411007805,3903.89,17.12,21.6,24.5,39.54000091
3,46.11000061,18.45999908,35.56267074,5.491174823,11451.17998,51.52,37.6,36.5,27.65000153
4,45.77000046,22.62999916,36.20662787,7.342384752,3113.769997,13.76,21.6,35,23.1400013
5,43.77999878,17.62999916,29.13069634,7.655823787,10457.91998,57.44,40.8,63,26.14999962
6,43.25999832,38.25999832,40.86733309,1.378832246,1226.019993,4.8,14.4,62.5,5
7,42.56999969,16.05999947,30.17668829,7.431691259,4647.209997,24.64,30.4,30,26.51000022
8,41.91999817,20.01000023,36.08361106,5.76281453,2598.019997,11.52,23.2,35,21.90999794
9,40.88000107,9.840000153,32.08340422,5.609130793,4523.759995,22.56,30.4,53,31.04000092
10,40.79999924,6.190000057,35.51203702,6.174863559,3835.299998,17.28,21.6,62.5,34.60999918
11,40.72999954,16.57999992,30.69114991,6.466238623,6138.229982,32,34.4,57,24.14999962
12,40.61000061,9.789999962,35.04419162,5.119994097,5852.38,26.72,29.6,60,30.82000065
13,39.70999908,30.20000076,36.4103361,2.397554852,4332.829996,19.04,21.6,53,9.50999832
14,39.16999817,6.360000134,32.79930688,5.404381156,3312.729995,16.16,29.6,24.5,32.80999804
15,38.06999969,5.480000019,29.78373628,6.833280194,8130.960005,43.68,40,17.5,32.58999967
16,37.56999969,6.880000114,33.84653058,3.501387958,4975.439996,23.52,24.8,39,30.68999958
17,37.45000076,32.25,35.22306139,1.719354693,1725.930008,7.84,17.6,43,5.20000076
18,37.27000046,14.11999989,29.04506408,5.339057604,4531.029996,24.96,26.4,32.5,23.15000057
19,37.18999863,6.679999828,25.46356965,7.542644294,10414.59999,65.44,45.6,32,30.5099988
20,36.86999893,11.34000015,23.76341801,5.567730892,8412.249976,56.64,45.6,32,25.52999878
21,36.81999969,8.460000038,24.43254236,7.043421654,7207.599997,47.2,40,46.5,28.35999965
22,36.58000183,7.150000095,31.15104768,6.242346466,3270.860007,16.8,24,56,29.43000174
23,36.27000046,34.50999832,35.32649994,0.52034753,706.5299988,3.2,12,22.5,1.76000214
24,36.00999832,32,34.13838688,1.083473091,1058.289993,4.96,11.2,22.5,4.00999832
25,35.90999985,10.2699995,28.9247644,5.15222385,5524.63,30.56,32.8,21.5,25.64000035
26,35.86000061,21.21999931,29.17809861,4.181175182,4143.290003,22.72,35.2,14.5,14.6400013
27,35.75999832,16.28000069,26.07624992,6.032647555,2503.319992,15.36,30.4,30,19.47999763
28,35.68000031,14.36999989,23.29318568,5.791662426,2632.129982,18.08,27.2,45.5,21.31000042
29,35.54000092,5.360000134,29.78983331,5.832521274,3574.779997,19.2,29.6,53,30.18000079
30,35.22999954,15.52999973,27.95293818,4.574259208,5422.870008,31.04,30.4,63,19.69999981
31,35.20999908,24.39999962,30.07620007,3.602809705,1503.810003,8,14.4,55.5,10.80999946
32,35.20000076,19.55999947,30.11797468,3.407398915,4758.639999,25.28,35.2,49,15.64000129
33,35.09000015,30.70999908,33.60052636,1.341443358,1276.820002,6.08,14.4,43,4.38000107
34,34.56999969,19.17000008,29.08677424,3.826568458,1803.380003,9.92,20,39,15.39999961
35,34.56000137,8.109999657,28.35551718,5.1571288,3289.239993,18.56,27.2,56,26.45000171
36,34.29000092,21.79000092,30.07082197,3.620375825,2195.170004,11.68,16.8,55.5,12.5
37,33.25999832,15.61999989,25.81825496,4.165971115,3846.91999,23.84,25.6,61.5,17.63999843
38,33.25999832,15.31999969,28.62262283,3.15337318,1745.979993,9.76,16.8,53,17.93999863
39,33.11999893,23.21999931,28.91142843,2.561782261,2226.179989,12.32,19.2,60,9.89999962
40,33.04000092,12.71000004,24.63975152,5.332052069,3966.999994,25.76,28,45,20.33000088
41,33.02000046,14.21000004,24.34530504,4.303449166,5185.549974,34.08,35.2,60,18.81000042
42,32.99000168,17.21999931,27.8095833,4.814596204,3337.149996,19.2,24,43,15.77000237
43,32.77000046,11.43000031,30.3050001,3.848105516,2242.570007,11.84,21.6,53,21.34000015
